stop_id,stop_name,stop_lat,stop_lon
stop_1_045,Lawton to PITX via Tatft - Stop 45,14.578006480390304,120.98713001249372
stop_1_047,Lawton to PITX via Tatft - Stop 47,14.577223713404637,120.98758796621544
stop_1_049,Lawton to PITX via Tatft - Stop 49,14.576435812446688,120.98803699000828
stop_1_051,Lawton to PITX via Tatft - Stop 51,14.575646194750869,120.98848302774158
stop_1_053,Lawton to PITX via Tatft - Stop 53,14.574856577055044,120.98892906547488
stop_1_055,Lawton to PITX via Tatft - Stop 55,14.574065235819756,120.9893720203184
stop_1_057,Lawton to PITX via Tatft - Stop 57,14.573271708729903,120.98981106533064
stop_1_059,Lawton to PITX via Tatft - Stop 59,14.572478181640054,120.99025011034284
stop_1_061,Lawton to PITX via Tatft - Stop 61,14.571687383545736,120.99069399211604
stop_1_063,Lawton to PITX via Tatft - Stop 63,14.570901284884744,120.99114620297422
stop_1_065,Lawton to PITX via Tatft - Stop 65,14.570111766966486,120.99159236653604
stop_1_067,Lawton to PITX via Tatft - Stop 67,14.569297618817975,120.99199059402494
stop_1_069,Lawton to PITX via Tatft - Stop 69,14.568471770462615,120.99236520491807
stop_1_071,Lawton to PITX via Tatft - Stop 71,14.567641986804396,120.99273096131482
stop_1_073,Lawton to PITX via Tatft - Stop 73,14.566818229248494,120.99311026232216
stop_1_075,Lawton to PITX via Tatft - Stop 75,14.565994471692594,120.9934895633295
stop_1_077,Lawton to PITX via Tatft - Stop 77,14.56517591456859,120.99387989028764
stop_1_079,Lawton to PITX via Tatft - Stop 79,14.564359277321945,120.99427428776794
stop_1_081,Lawton to PITX via Tatft - Stop 81,14.5635387229055,120.99466004576556
stop_1_083,Lawton to PITX via Tatft - Stop 83,14.562703934497977,120.9950144100975
stop_2_001,PITX  to Lawton via Tatft - Stop 1,14.5628099985056,120.99513264968688
stop_2_002,PITX  to Lawton via Tatft - Stop 2,14.563234079375414,120.9949772429175
stop_2_003,PITX  to Lawton via Tatft - Stop 3,14.563644643406173,120.9947871155376
stop_2_004,PITX  to Lawton via Tatft - Stop 4,14.564054227004004,120.9945947704118
stop_2_005,PITX  to Lawton via Tatft - Stop 5,14.564463868722251,120.99440254995667
stop_2_007,PITX  to Lawton via Tatft - Stop 7,14.565285181568724,120.99402246221374
stop_2_009,PITX  to Lawton via Tatft - Stop 9,14.566101060853446,120.9936309023752
stop_2_011,PITX  to Lawton via Tatft - Stop 11,14.566915778978023,120.9932368799354
stop_2_013,PITX  to Lawton via Tatft - Stop 13,14.567731860002429,120.9928456852962
stop_2_015,PITX  to Lawton via Tatft - Stop 15,14.56854833033795,120.99245530541825
stop_2_017,PITX  to Lawton via Tatft - Stop 17,14.569365386117637,120.99206615077416
stop_2_019,PITX  to Lawton via Tatft - Stop 19,14.570173227916865,120.991658304617
stop_2_021,PITX  to Lawton via Tatft - Stop 21,14.570973630064064,120.9912362357971
stop_2_023,PITX  to Lawton via Tatft - Stop 23,14.571764018536692,120.9907954448981
stop_2_025,PITX  to Lawton via Tatft - Stop 25,14.57255211197971,120.99035055141738
stop_2_027,PITX  to Lawton via Tatft - Stop 27,14.573341423613895,120.98990783329472
stop_2_029,PITX  to Lawton via Tatft - Stop 29,14.574132525520485,120.98946831182276
stop_2_031,PITX  to Lawton via Tatft - Stop 31,14.574922600662248,120.9890269471725
stop_2_033,PITX  to Lawton via Tatft - Stop 33,14.57571267580401,120.98858558252226
stop_2_035,PITX  to Lawton via Tatft - Stop 35,14.576500394224356,120.98814004525828
stop_2_037,PITX  to Lawton via Tatft - Stop 37,14.577283196627578,120.9876859296769
stop_2_039,PITX  to Lawton via Tatft - Stop 39,14.57806097793558,120.98722331382127
stop_2_041,PITX  to Lawton via Tatft - Stop 41,14.57884423493424,120.98676996849711
stop_2_043,PITX  to Lawton via Tatft - Stop 43,14.57962979797081,120.9863206220832
stop_2_045,PITX  to Lawton via Tatft - Stop 45,14.58041573853238,120.98587193660528
stop_2_047,PITX  to Lawton via Tatft - Stop 47,14.581204132814532,120.98542759929188
stop_2_049,PITX  to Lawton via Tatft - Stop 49,14.581994669596035,120.9849870620276
stop_2_051,PITX  to Lawton via Tatft - Stop 51,14.582783653370068,120.98454375981828
stop_2_053,PITX  to Lawton via Tatft - Stop 53,14.58358340424417,120.98412088201094
stop_2_055,PITX  to Lawton via Tatft - Stop 55,14.584371442058512,120.98367596842516
stop_2_057,PITX  to Lawton via Tatft - Stop 57,14.585159470774531,120.98323096252996
stop_2_059,PITX  to Lawton via Tatft - Stop 59,14.585948207958308,120.98278721131696
stop_2_061,PITX  to Lawton via Tatft - Stop 61,14.586737242839783,120.98234398975023
stop_2_063,PITX  to Lawton via Tatft - Stop 63,14.587526344434478,120.98190088687576
stop_2_065,PITX  to Lawton via Tatft - Stop 65,14.588333817367824,120.98149226457004
stop_2_067,PITX  to Lawton via Tatft - Stop 67,14.58918565811987,120.9811926629945
stop_2_069,PITX  to Lawton via Tatft - Stop 69,14.590050432071743,120.9809258712214
stop_2_071,PITX  to Lawton via Tatft - Stop 71,14.59090730931134,120.9806351538584
stop_2_073,PITX  to Lawton via Tatft - Stop 73,14.59175580780246,120.98032405589193
